instance,value,time,nodes,edges,terminals
instance001,7090,479.666,6405,10454,16
instance002,56506,802.316,7998,14734,16
instance003,93704,1618.09,8007,14743,24
instance004,142409,4111.57,19083,35636,24
instance005,115334,2340.4,8013,14749,30
instance006,172470,6230.63,19091,35644,31
instance007,351091,15671.9,38282,71521,34
instance008,99399,3395.25,8017,14753,36
instance009,7592368,2708.85,3803,6213,38
instance010,13649540,1798.51,2363,3761,40
