instance,value,time,nodes,edges,terminals
instance001,6990,174.226,6405,10454,16
instance002,40976,131.748,7998,14734,16
instance003,0,203.606,8007,14743,24
instance004,108602,566.616,19083,35636,24
instance005,82901,301.134,8013,14749,30
instance006,126696,885.02,19091,35644,31
instance007,292606,3127.25,38282,71521,34
instance008,80233,416.847,8017,14753,36
instance009,7591529,699.232,3803,6213,38
instance010,13648186,468.286,2363,3761,40
